NPA,Impervious_Surface-2023,Housing_Density-2023,Housing_Size-2023,Housing_Age-2023,New_Residential-2023,Residential_Renovation-2023,Vacant_Land-2023,Commercial_Construction-2023,Early_Care_Proximity-2023,School_Age_Proximity-2023,Single_Family_Housing-2023,Bicycle_Friendliness-2023,Transit_Proximity-2023,Commercial_Space-2023,Commercial_Building_Age-2023,Adopt_a_Stream-2023,Grocery_Proximity-2023,Rental_Houses-2023,Proficiency_Elementary_School-2023,Proficiency_Middle_School-2023,Proficiency_High_School-2023,Highschool_Graduation_Rate-2023,Student_Absenteeism-2023,Neighborhood_School_Attendance-2023,Housing_Violations-2023,Foreclosures-2023,Adopt_a_Street-2023,Board_Committee_Participation-2023,Park_Proximity-2023,Home_Sale_Price-2023,Fincancial_Services_Proximity-2023,Public_Nutrition_Assistance-2023,Subsidized_Housing-2023,Residential_Demolitions-2023
62,45.96505289670304,0.0,,,0.0,0.0,0.0,0.3,,,,1.6,,10096.0,45.0,,,,,,,,,,,0.0,,0.0,,226333.0,,,0.0,
64,30.41087578314736,6.5,1891.0,49.0,0.0,0.8,9.044040523,2.6,51.68316832,51.68316832,9.267326733,1.5,99.88118812,41184.65,23.0,,39.12871287,38.88888889,0.2597402597402597,0.1379310344827586,0.2631578947368421,0.8260869565217391,0.3307692307692307,0.517948717948718,0.594059406,0.0,71.78623325,0.0,42.0990099,328737.0,81.5049505,,1.188118812,0.0
65,17.02467851007112,3.9,1582.0,62.0,33.9,0.0,41.90886638,1.1,60.74964639,60.74964639,0.141442716,1.8,100.0,6544.083333,14.0,100.0,85.572843,50.0,0.3333333333333333,0.2727272727272727,0.0588235294117647,0.875,0.270042194092827,0.4852320675105485,0.282885431,0.0,0.0,0.0,65.91230552,445947.0,,,0.0,0.0
66,41.426785518962426,4.5,2066.0,36.0,0.0,0.5,2.37735987,4.9,0.0,,2.103365385,1.6,100.0,25563.67123,21.0,100.0,100.0,2.857142857,0.2222222222222222,0.3,0.25,0.7,0.3384615384615385,0.5333333333333333,0.600961538,0.0,0.0,0.0,100.0,372176.0,78.66586538,,0.0,0.0
67,36.0826450388054,8.6,2694.0,123.0,0.0,0.0,9.636956872,0.0,99.88290398,99.88290398,0.117096019,1.5,100.0,4112.2,23.0,,100.0,100.0,0.2,0.238095238095238,0.1428571428571428,1.0,0.3128491620111732,0.4301675977653631,0.234192037,,0.0,0.639386189,71.42857143,,,,0.0,0.0
68,30.35723429253305,0.9,2121.0,28.0,0.0,0.4,12.19185491,3.0,94.95128432,96.72276351,30.46944198,1.1,60.76173605,40175.15508,26.0,93.11246823,55.71302037,18.60465116,0.4137931034482758,0.3214285714285714,0.3529411764705882,0.8275862068965517,0.2609523809523809,0.6685714285714286,0.708591674,,17.91013931,0.370096225,16.65190434,,56.86448184,,0.0,0.0
69,19.226918662658083,2.8,4522.0,45.0,0.3,5.0,0.795705904,2.6,0.0,50.92592593,22.12962963,1.5,98.24074074,31770.13333,16.0,100.0,78.33333333,7.112970711,0.8421052631578947,0.95,0.8,1.0,0.1041666666666666,0.7013888888888888,0.833333333,0.0,31.73317855,0.582072177,57.87037037,181539.0,84.62962963,,0.0,0.0
70,23.93123419221813,1.8,1227.0,62.0,0.3,3.0,1.965322231,0.7,100.0,100.0,100.0,2.0,100.0,8650.625,44.0,0.0,67.36641221,43.51145038,0.1891891891891892,0.2564102564102564,0.2142857142857142,1.0,0.3443396226415094,0.490566037735849,0.954198473,0.0,17.79546916,1.605136437,100.0,257780.0,52.29007634,,0.0,0.0
71,21.92635245109035,4.0,1795.0,37.0,0.0,0.5,2.168427865,0.6,100.0,100.0,14.54027085,1.5,100.0,4448.2,44.0,100.0,62.79401283,20.58823529,0.215311004784689,0.1968085106382978,0.2363636363636363,0.8787878787878788,0.3326673326673326,0.6963036963036963,1.354240912,0.0,0.0,0.0,76.33642195,1275531.0,69.85032074,,10.24182077,0.0
72,20.27045587345581,2.2,2345.0,28.0,69.2,0.2,23.75836265,2.8,0.0,,9.271523179,2.1,55.78496299,36861.36986,16.0,30.44149593,10.24542267,13.44537815,0.4423076923076923,0.5,0.4285714285714285,0.8,0.2619647355163728,0.5491183879093199,0.116867939,0.0,24.67116288,0.0,67.47175691,,6.895208414,,0.0,0.0
73,9.24659044976571,0.4,1843.0,23.0,8.8,0.5,29.54450672,0.4,36.4516129,5.419354839,99.80645161,1.5,1.870967742,33709.475,31.0,0.0,4.64516129,27.86037492,0.4769230769230769,0.3877551020408163,0.3653846153846153,0.8076923076923077,0.2107496463932107,0.5770862800565771,0.129032258,0.0,0.0,0.0,8.193548387,489675.0,,,0.0,0.0
74,34.36657855885728,3.7,1474.0,39.0,0.0,1.0,0.95631649,1.0,0.0,41.08108108,23.24324324,1.5,100.0,47872.56,37.0,,69.18918919,16.86046512,0.7333333333333333,0.4210526315789473,,0.9,0.216867469879518,0.7228915662650602,0.0,0.0,32.98452978,0.876424189,100.0,312952.0,,,0.0,0.0
75,26.04997731714307,3.9,4412.0,21.0,0.0,2.4,1.761274985,0.6,78.21782178,84.76770754,20.18278751,1.4,,1795.923077,18.0,100.0,26.50418888,2.641509434,0.7628865979381443,0.7435897435897436,0.8541666666666666,1.0,0.0980735551663747,0.7723292469352014,0.0,0.0,0.371164824,0.0,56.66412795,259033.0,,,0.0,0.0
76,10.094921614524758,1.2,2534.0,17.0,1.0,1.7,9.500015717,0.6,28.10376776,6.856084002,80.60531192,1.3,5.558987029,16685.73438,15.0,20.600037,0.49413218,17.85440613,0.5283018867924528,0.4117647058823529,0.4615384615384615,0.967741935483871,0.2049306625577812,0.6040061633281972,0.0,0.0,0.0,0.0,12.0444719,297141.0,2.408894379,,4.554079696,4.9
77,14.650164804199871,2.4,2163.0,18.0,17.1,1.6,12.91361513,0.2,91.00121605,90.47426024,43.41305229,1.4,51.72274017,8148.2,23.0,100.0,55.16822051,31.27917834,0.5048543689320388,0.3786407766990291,0.4375,0.8666666666666667,0.2235393734123624,0.6570702794242168,0.162140251,0.0,0.0,0.0,61.12687475,,50.30401297,,0.0,0.0
78,32.43706748195826,1.7,2557.0,22.0,0.0,0.8,3.370231734,4.9,70.38391225,70.38391225,38.93967093,1.2,94.42413163,34210.62963,23.0,31.99634502,24.13162706,13.61502347,0.4590163934426229,0.3442622950819672,0.3571428571428571,0.7666666666666667,0.2109375,0.6276041666666666,0.182815356,0.0,5.31883188,0.0,32.99817185,292350.0,34.64351005,,0.0,0.0
79,34.47547666342016,9.3,,,0.0,0.0,1.213589918,0.0,100.0,100.0,0.0,1.3,100.0,1959.571429,32.0,100.0,76.28865979,,0.18125,0.0943396226415094,0.1515151515151515,0.5882352941176471,0.3048211508553655,0.7558320373250389,1.030927835,0.0,0.0,0.0,100.0,304046.0,,,7.36377025,0.0
80,7.293877145003474,2.5,1682.0,55.0,52.7,0.0,52.6680318,0.1,82.35294118,82.35294118,1.117647059,2.0,95.41176471,5364.714286,14.0,0.0,80.23529412,57.89473684,0.3846153846153846,0.4347826086956521,0.1428571428571428,0.9230769230769232,0.25,0.4611111111111111,0.176470588,0.0,0.0,0.0,0.705882353,318182.0,,,0.0,0.0
81,23.37930537215351,2.9,2009.0,28.0,0.0,3.2,7.467195869,1.0,97.0749543,100.0,51.18829982,1.1,96.16087751,7074.5,20.0,0.0,3.10786106,17.5,0.6129032258064516,0.2666666666666666,0.5714285714285714,0.8888888888888888,0.2101910828025477,0.535031847133758,0.0,0.180831826,43.31752292,0.0,98.90310786,295565.0,32.54113346,,14.80804388,0.0
82,22.08780076486532,3.8,2793.0,18.0,7.5,1.9,12.30057772,0.5,98.95178197,98.95178197,30.39832285,1.4,90.21663173,11282.0,17.0,70.20949144,36.54786862,27.5862069,0.45,0.3975903614457831,0.5,0.8620689655172413,0.1794310722100656,0.5886214442013129,0.139762404,0.0,0.0,0.359066427,80.99231307,302500.0,38.71418588,,0.0,0.7
83,2.835616395118885,0.1,2151.0,43.0,0.2,0.3,55.54057938,0.0,25.66666667,4.0,99.0,1.1,,31651.45455,34.0,0.0,,24.91582492,0.2359550561797752,0.2105263157894736,0.1739130434782608,0.71875,0.2105263157894736,0.671578947368421,0.333333333,0.0,,0.549148819,39.66666667,165684.0,,,0.0,16.7
84,3.046094677766253,0.3,1946.0,46.0,0.0,0.1,46.84908906,0.2,3.167420814,70.73906486,30.31674208,1.6,70.73906486,37975.125,34.0,0.0,,34.82587065,0.3333333333333333,0.3,,,0.1636363636363636,0.6181818181818182,0.301659125,0.0,,0.0,82.05128205,344791.0,,,0.0,1.5
85,16.5800217261537,2.8,1130.0,62.0,1.5,5.8,8.589918177,0.7,100.0,100.0,80.96479791,1.9,100.0,2356.55,72.0,87.28450502,35.20208605,62.96296296,0.125,0.1929824561403508,0.3333333333333333,0.6956521739130435,0.4410876132930513,0.5075528700906344,3.780964798,0.0,44.13937385,0.574382539,100.0,272712.0,46.02346806,,10.62992126,1.3
86,39.648333948355365,23.7,1387.0,32.0,35.3,0.0,0.845262531,1.0,97.95657727,100.0,1.830566198,1.5,100.0,3947.363636,49.0,100.0,100.0,86.04651163,0.1844660194174757,0.1578947368421052,0.2222222222222222,0.625,0.3493723849372385,0.6841004184100419,0.97914006,0.0,68.53024587,0.0,99.78714347,454765.0,1.660280971,,3.251318102,0.0
87,24.34833806687709,3.7,1468.0,63.0,3.1,6.6,2.379601621,2.6,99.44367177,99.44367177,45.20166898,1.6,100.0,3758.2,52.0,,59.80528512,22.46153846,0.5,0.5,,1.0,0.2616822429906542,0.4579439252336448,1.390820584,0.0,41.13414957,0.757575758,100.0,342462.0,28.65090403,,4.596100279,5.6
88,15.722199332601312,1.4,1115.0,50.0,19.6,3.3,9.992875702,0.5,100.0,100.0,81.86356073,1.9,100.0,9742.084844,58.0,55.05181527,,42.27642276,0.2678571428571428,0.3333333333333333,0.4375,0.7333333333333333,0.3356164383561644,0.476027397260274,0.998336106,0.0,7.237384538,0.766871166,100.0,239152.0,,,3.333333333,1.7
89,14.836647874859205,2.3,1404.0,42.0,0.4,3.4,7.265058012,0.4,98.72262774,98.72262774,100.0,1.9,99.08759124,1344.0,36.0,0.0,54.9270073,31.02189781,0.3684210526315789,0.3846153846153846,0.5,0.95,0.1824324324324324,0.6148648648648649,0.0,0.0,0.077780593,0.0,,330630.0,,,0.0,0.0
90,20.730266858381032,3.3,1416.0,65.0,2.0,2.0,2.998646781,0.4,51.44578313,51.44578313,40.72289157,1.7,100.0,4708.65,42.0,,6.265060241,34.02366864,0.28,0.2083333333333333,0.5,0.8,0.3508064516129032,0.6008064516129032,0.843373494,0.0,29.03038248,0.0,100.0,358163.0,33.13253012,,35.30834341,0.0
91,15.761364871002607,3.0,1512.0,42.0,0.7,4.2,4.135633628,0.7,97.02026222,97.02026222,82.83671037,1.4,67.69964243,1434.0,22.0,0.0,,25.61151079,0.3289473684210526,0.3214285714285714,0.36,0.8787878787878788,0.2832244008714596,0.5686274509803921,0.476758045,0.0,0.0,0.842105263,32.6579261,330051.0,,,0.0,0.0
92,44.50010200447444,7.2,2030.0,13.0,0.0,4.0,20.12342916,3.7,83.66718028,83.66718028,0.410888546,1.4,100.0,41656.47059,19.0,60.31326987,75.0385208,12.5,0.2666666666666666,0.3428571428571428,0.4,0.875,0.25,0.635,0.0,0.0,15.00721328,0.40371417,12.37801746,676467.0,100.0,,8.834103749,0.0
93,25.147082032299043,1.9,957.0,103.0,0.0,0.0,25.17096571,2.4,100.0,75.0,0.178571429,1.7,100.0,53756.14815,31.0,91.60332783,92.85714286,100.0,0.3275862068965517,0.1454545454545454,0.2727272727272727,0.75,0.315625,0.628125,0.089285714,0.0,28.58104218,0.0,,284554.0,75.0,,0.0,0.0
94,21.558254431980835,0.8,1145.0,50.0,0.0,1.4,16.47532685,2.6,55.61594203,55.61594203,64.49275362,1.6,96.92028986,35483.88889,33.0,100.0,52.89855072,30.61797753,0.3181818181818182,0.1774193548387097,0.1153846153846153,0.7142857142857143,0.3577712609970674,0.592375366568915,0.543478261,0.0,15.94964268,0.0,99.27536232,341948.0,53.62318841,,0.0,0.0
95,31.65685881123063,1.5,1747.0,27.0,0.0,1.4,1.410949457,5.7,89.7473997,89.7473997,52.74888559,1.5,73.69985141,58346.44444,19.0,,62.40713224,18.87323944,0.5076923076923077,0.3220338983050847,0.3636363636363636,0.8888888888888888,0.2333333333333333,0.6333333333333333,0.0,0.375234522,46.59205813,0.612369871,75.0371471,372534.0,65.37890045,,0.0,0.0
96,26.45483150257681,3.5,1612.0,29.0,50.4,1.8,15.63798343,2.1,100.0,100.0,24.26795026,1.5,98.03449659,19989.64815,17.0,12.23783511,54.71319695,20.33057851,0.4210526315789473,0.2477064220183486,0.3214285714285714,0.8421052631578947,0.2462908011869436,0.5830860534124629,0.200561572,0.0,0.0,0.39146604,,295964.0,51.86522262,,4.419889503,0.0
97,17.711954724487665,3.4,1887.0,31.0,0.0,6.7,1.070404417,0.4,34.46601942,34.46601942,49.46062567,1.3,72.65372168,4331.0,40.0,0.0,14.34735707,17.55725191,0.3644859813084112,0.2268041237113402,0.4333333333333333,0.92,0.2179732313575526,0.6653919694072657,0.0,0.0,17.35501301,0.0,90.88457389,289979.0,20.49622438,,0.0,0.0
98,6.301629218637831,1.0,2066.0,17.0,0.1,0.9,25.56005377,0.1,56.90897184,56.97445972,84.67583497,1.2,74.00130976,1994.133333,53.0,30.69941574,0.589390963,17.16937355,0.5488721804511278,0.360655737704918,0.4666666666666667,0.9074074074074074,0.214824120603015,0.5288944723618091,0.065487885,0.0,0.099165624,0.549903767,30.97576948,375145.0,,,0.0,0.0
99,18.47708605732708,1.7,1921.0,50.0,1.3,6.5,3.486925802,0.8,30.45454545,27.57575758,100.0,1.7,95.0,4456.0,40.0,,32.87878788,16.51515152,0.6097560975609756,0.4651162790697674,0.45,0.9333333333333332,0.2142857142857142,0.6116071428571429,0.606060606,0.0,8.9300465,1.150747986,100.0,343438.0,38.78787879,,0.0,0.0
100,22.676930202884872,1.0,1494.0,46.0,0.0,1.0,2.589900457,0.8,97.16713881,100.0,62.32294618,1.4,100.0,10065.14286,35.0,,,35.68181818,0.4126984126984127,0.1746031746031746,0.375,0.8125,0.2885245901639344,0.6262295081967213,1.133144476,0.0,33.34436226,0.544959128,99.2917847,252679.0,,,0.0,0.0
101,28.6506615349108,5.7,1386.0,38.0,0.0,0.8,4.999547356,1.6,100.0,100.0,12.92984869,2.0,100.0,4035.833333,55.0,,,17.0212766,0.27,0.0918367346938775,0.25,0.8571428571428571,0.3382899628252788,0.6784386617100372,0.550206327,0.281690141,11.74163046,0.485201359,19.53232462,342375.0,,,0.0,0.0
102,17.055001395853562,2.7,1262.0,43.0,1.5,1.5,3.029334715,1.5,100.0,100.0,61.52416357,1.2,100.0,2695.666667,48.0,,61.52416357,34.44108761,0.2678571428571428,0.3265306122448979,0.1739130434782608,0.7857142857142857,0.2964169381107492,0.5602605863192183,0.371747212,0.0,0.0,0.0,89.59107807,458319.0,,,0.0,0.0
103,25.256555351166845,6.7,1223.0,23.0,0.0,3.0,7.335048548,0.7,91.40625,91.40625,25.55803571,1.8,100.0,8493.2,37.0,,,42.3580786,0.1346153846153846,0.2413793103448276,0.2,0.8181818181818182,0.3626760563380282,0.5246478873239436,0.669642857,0.0,27.87178987,0.0,4.464285714,327236.0,,,0.0,0.0
